House_Type,Family_Members,Number_of_Rooms,Daily_Appliance_Usage_Count,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Usage_Hours,Washing_Machine_Usage_Hours,Water_Motor_Usage_Hours,Lighting_Hours,Outdoor_Temperature_C,Day_of_Week,Season,Is_Holiday,Daily_Electricity_Consumption_kWh
Apartment,2,3,5,3.38,10.81,24,0.0,0.91,5.37,39.6,Friday,Summer,0,11.63
Villa,2,7,7,8.4,10.75,24,0.61,1.32,5.11,33.9,Sunday,Summer,1,21.49
Apartment,2,4,4,4.68,8.62,24,0.0,1.47,4.99,32.9,Wednesday,Summer,0,12.66
Apartment,7,4,8,10.95,8.91,24,0.84,2.16,5.6,33.8,Tuesday,Summer,1,28.13
Independent House,2,4,14,5.53,9.08,24,0.0,1.4,8.31,39.6,Wednesday,Summer,0,13.48
Apartment,2,3,13,1.46,0.0,24,0.0,2.02,7.08,11.1,Friday,Winter,0,7.12
Apartment,4,3,5,1.87,0.0,24,1.62,2.87,8.18,9.6,Saturday,Winter,1,12.53
Apartment,7,3,14,10.1,7.52,24,1.12,0.57,6.68,38.4,Friday,Summer,0,27.88
Independent House,3,6,4,7.98,10.34,24,0.0,1.07,7.71,38.6,Monday,Summer,0,19.18
Apartment,6,4,8,8.57,10.32,24,0.0,2.08,6.67,37.6,Sunday,Summer,1,23.6
Apartment,6,3,11,6.32,6.81,24,0.0,0.92,5.5,39.7,Friday,Summer,0,14.39
Villa,3,8,14,5.25,7.2,24,1.01,1.34,6.63,21.9,Sunday,Spring/Autumn,1,17.87
Apartment,1,2,11,0.04,3.82,24,0.0,1.19,5.54,10.9,Saturday,Winter,1,5.54
Apartment,4,2,9,1.63,0.99,24,0.0,0.83,5.29,15.6,Friday,Winter,0,7.37
Apartment,4,3,4,6.57,9.66,24,0.0,2.22,3.04,37.5,Monday,Summer,0,16.62
Apartment,1,4,13,0.36,2.81,24,,1.85,3.58,13.2,Friday,Winter,0,5.75
Villa,3,9,9,3.28,3.32,24,0.79,1.98,9.08,22.3,Saturday,Spring/Autumn,1,14.37
Independent House,1,4,5,8.31,11.07,24,2.14,1.68,5.32,38.6,Thursday,Summer,0,18.08
Villa,5,8,11,9.16,7.3,24,0.77,1.59,8.7,34.9,Thursday,Summer,0,21.9
Apartment,2,4,13,0.0,4.66,24,1.14,1.5,6.49,20.1,Sunday,Spring/Autumn,1,6.98
Independent House,3,4,13,0.43,1.88,24,0.94,1.78,4.95,7.8,Wednesday,Winter,0,6.64
Apartment,4,4,4,1.74,12.42,24,1.07,0.99,5.07,29.1,Saturday,Spring/Autumn,1,10.24
Independent House,6,6,11,1.94,5.68,24,0.94,1.29,7.68,22.5,Friday,Spring/Autumn,0,10.53
Independent House,4,4,9,0.0,4.44,24,0.0,0.6,7.39,14.8,Monday,Winter,0,5.3
Independent House,2,4,8,9.94,9.86,24,0.0,1.26,7.35,35.2,Saturday,Summer,1,20.6
Apartment,7,2,9,3.98,5.34,24,0.0,0.2,3.59,23.2,Wednesday,Spring/Autumn,0,11.51
Villa,4,6,14,4.21,4.79,24,1.19,1.49,7.29,27.5,Thursday,Spring/Autumn,0,14.42
Apartment,4,2,9,7.84,6.47,24,0.7,0.47,5.46,38.1,Friday,Summer,0,18.72
Independent House,4,5,11,4.13,10.54,24,0.0,1.09,7.26,42.1,Thursday,Summer,0,13.63
Independent House,1,5,9,1.11,2.84,24,2.96,2.04,6.72,13.5,Thursday,Winter,0,8.43
Apartment,2,3,7,0.0,6.83,24,,0.98,3.11,19.7,Sunday,Spring/Autumn,1,6.05
Apartment,2,3,8,4.56,11.68,24,0.99,1.48,3.71,34.3,Thursday,Summer,0,12.47
Apartment,4,4,10,5.07,10.77,24,0.0,1.85,6.15,41.9,Monday,Summer,0,14.94
Apartment,2,3,4,0.68,3.43,24,0.0,1.28,2.34,16.3,Saturday,Winter,1,6.47
Apartment,4,4,12,3.45,3.31,24,0.0,1.58,7.13,19.8,Sunday,Spring/Autumn,1,13.05
Independent House,7,3,5,9.23,5.9,24,0.0,0.96,4.23,35.7,Thursday,Summer,0,21.65
Apartment,1,3,6,0.09,1.45,24,0.0,0.95,8.18,9.7,Tuesday,Winter,0,5.18
Apartment,4,4,5,1.68,0.0,24,0.0,1.25,6.14,14.8,Saturday,Winter,1,7.65
Apartment,6,3,8,5.96,12.53,24,1.02,1.06,7.54,42.5,Wednesday,Summer,0,16.27
Villa,3,6,5,1.69,5.91,24,0.0,0.99,6.54,30.4,Friday,Spring/Autumn,0,8.87
Independent House,6,6,10,3.2,8.25,24,0.0,1.99,6.37,27.3,Saturday,Spring/Autumn,1,13.63
Apartment,7,2,8,5.85,7.29,24,0.0,1.41,8.36,40.7,Friday,Summer,0,18.5
Independent House,7,6,12,11.61,11.11,24,0.5,2.01,5.86,35.2,Sunday,Summer,1,29.99
