House_Type,Family_Members,Number_of_Rooms,Daily_Appliance_Usage_Count,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Usage_Hours,Washing_Machine_Usage_Hours,Water_Motor_Usage_Hours,Lighting_Hours,Outdoor_Temperature_C,Day_of_Week,Season,Is_Holiday,Daily_Electricity_Consumption_kWh,House_Type_Encoded,Day_of_Week_Encoded,Season_Encoded,Family_Members_Scaled,Number_of_Rooms_Scaled,Daily_Appliance_Usage_Count_Scaled,AC_Usage_Hours_Scaled,Fan_Usage_Hours_Scaled,Refrigerator_Usage_Hours_Scaled,Washing_Machine_Usage_Hours_Scaled,Water_Motor_Usage_Hours_Scaled,Lighting_Hours_Scaled,Outdoor_Temperature_C_Scaled
Apartment,2,3,5,3.38,10.81,24,0.0,0.91,5.37,39.6,Friday,Summer,0,11.63,0,0,1,-1.0290764278769977,-0.6466304033004656,-1.249737043744964,-0.12080292018513976,1.130006424132287,0.0,-0.7961864247267118,-0.9506757574733435,-0.57004569468335,1.2205887297547335
Villa,2,7,7,8.4,10.75,24,0.61,1.32,5.11,33.9,Sunday,Summer,1,21.49,2,3,1,-1.0290764278769977,1.5005459039552316,-0.5948969966395818,1.3668930662434187,1.1139361739668596,0.0,0.11549497246086222,-0.17869888625043598,-0.738424131109962,0.7200761575389479
Apartment,2,4,4,4.68,8.62,24,0.0,1.47,4.99,32.9,Wednesday,Summer,0,12.66,0,6,1,-1.0290764278769977,-0.10983632648654133,-1.5771570672976551,0.2644569966190685,0.5434422930941951,0.0,-0.7961864247267118,0.10373167639209098,-0.8161372556145523,0.632266934343196
Apartment,7,4,8,10.95,8.91,24,0.84,2.16,5.6,33.8,Tuesday,Summer,1,28.13,0,5,1,1.4724182546961082,-0.10983632648654133,-0.2674769730868907,2.122595210743981,0.62111516889376,0.0,0.4592436959906032,1.4029122645477161,-0.4210955393828856,0.7112952352193725
Independent House,2,4,14,5.53,9.08,24,0.0,1.4,8.31,39.6,Wednesday,Summer,0,13.48,1,6,1,-1.0290764278769977,-0.10983632648654133,1.697043168229256,0.5163577114525896,0.6666475443624702,0.0,-0.7961864247267118,-0.028069252841088462,1.3339258556791114,1.2205887297547335
Apartment,2,3,13,1.46,0.0,24,0.0,2.02,7.08,11.1,Friday,Winter,0,7.12,0,0,2,-1.0290764278769977,-0.6466304033004656,1.3696231446765648,-0.6898021819267398,-1.7653169806721734,0.0,-0.7961864247267118,1.1393104060813573,0.5373663295070611,-1.2819741313241935
Apartment,4,3,5,1.87,0.0,24,1.62,2.87,8.18,9.6,Saturday,Winter,1,12.53,0,2,2,-0.028478554847755435,-0.6466304033004656,-1.249737043744964,-0.5682971312423355,-1.7653169806721734,0.0,1.6250002366566816,2.739750261055678,1.2497366374658048,-1.4136879661178212
Apartment,7,3,14,10.1,7.52,24,1.12,0.57,6.68,38.4,Friday,Summer,0,27.88,0,0,1,1.4724182546961082,-0.6466304033004656,1.697043168229256,1.87069449591046,0.24882104006136394,0.0,0.8777204028963751,-1.590851699463072,0.2783225811584267,1.115217661919831
Independent House,3,6,4,7.98,10.34,24,0.0,1.07,7.71,38.6,Monday,Summer,0,19.18,1,1,1,-0.5287774913623766,0.9637518271413074,-1.5771570672976551,1.2424244777374436,1.0041227978364407,0.0,-0.7961864247267118,-0.6494164906546479,0.9453602331561598,1.1327795065589816
Apartment,6,4,8,8.57,10.32,24,0.0,2.08,6.67,37.6,Sunday,Summer,1,23.6,0,3,1,0.9721193181814869,-0.10983632648654133,-0.2674769730868907,1.4172732092101228,0.9987660477812983,0.0,-0.7961864247267118,1.2522826311383681,0.27184648744971096,1.04497028336323
