AC_Usage_Hours,Family_Members,Water_Motor_Usage_Hours,Rooms_per_Person,Total_Appliance_Hours,Daily_Appliance_Usage_Count,Washing_Machine_Usage_Hours,Lighting_Hours,Outdoor_Temperature_C,Number_of_Rooms,Fan_Usage_Hours,Day_of_Week_Encoded,Daily_Electricity_Consumption_kWh
3.38,2,0.91,1.5,44.46999999999999,5,0.0,5.37,39.6,3,10.81,0,11.63
8.4,2,1.32,3.5,50.19,7,0.61,5.11,33.9,7,10.75,3,21.49
4.68,2,1.47,2.0,43.76,4,0.0,4.99,32.9,4,8.62,6,12.66
10.95,7,2.16,0.5714285714285714,52.46,8,0.84,5.6,33.8,4,8.91,5,28.13
5.53,2,1.4,2.0,48.32,14,0.0,8.31,39.6,4,9.08,6,13.48
1.46,2,2.02,1.5,34.56,13,0.0,7.08,11.1,3,0.0,0,7.12
1.87,4,2.87,0.75,38.540000000000006,5,1.62,8.18,9.6,3,0.0,2,12.53
10.1,7,0.57,0.42857142857142855,49.989999999999995,14,1.12,6.68,38.4,3,7.52,0,27.88
7.98,3,1.07,2.0,51.1,4,0.0,7.71,38.6,6,10.34,1,19.18
8.57,6,2.08,0.6666666666666666,51.64,8,0.0,6.67,37.6,4,10.32,3,23.6
6.32,6,0.92,0.5,43.55,11,0.0,5.5,39.7,3,6.81,0,14.39
5.25,3,1.34,2.6666666666666665,45.43000000000001,14,1.01,6.63,21.9,8,7.2,3,17.87
0.04,1,1.19,2.0,34.59,11,0.0,5.54,10.9,2,3.82,2,5.54
1.63,4,0.83,0.5,32.74,9,0.0,5.29,15.6,2,0.99,0,7.37
6.57,4,2.22,0.75,45.49,4,0.0,3.04,37.5,3,9.66,1,16.62
0.36,1,1.85,4.0,32.6,13,0.0,3.58,13.2,4,2.81,0,5.75
3.28,3,1.98,3.0,42.449999999999996,9,0.79,9.08,22.3,9,3.32,2,14.37
8.31,1,1.68,4.0,52.52,5,2.14,5.32,38.6,4,11.07,4,18.08
9.16,5,1.59,1.6,51.52000000000001,11,0.77,8.7,34.9,8,7.3,4,21.9
0.0,2,1.5,2.0,37.79,13,1.14,6.49,20.1,4,4.66,3,6.98
0.43,3,1.78,1.3333333333333333,33.980000000000004,13,0.94,4.95,7.8,4,1.88,6,6.64
1.74,4,0.99,1.0,45.29,4,1.07,5.07,29.1,4,12.42,2,10.24
1.94,6,1.29,1.0,41.529999999999994,11,0.94,7.68,22.5,6,5.68,0,10.53
