,count,mean,std,min,25%,50%,75%,max
Family_Members,650.0,4.056923076923077,2.0003442870668526,1.0,2.0,4.0,6.0,7.0
Number_of_Rooms,650.0,4.204615384615384,1.864346427633094,2.0,3.0,4.0,5.0,9.0
Daily_Appliance_Usage_Count,650.0,8.816923076923077,3.0565330385836726,4.0,6.0,9.0,11.0,14.0
AC_Usage_Hours,650.0,3.7876307692307694,3.376943976210781,0.0,0.8125,2.59,6.640000000000001,12.64
Fan_Usage_Hours,650.0,6.590999999999999,3.736482416318539,0.0,3.3449999999999998,6.73,9.6575,15.68
Refrigerator_Usage_Hours,650.0,24.0,0.0,24.0,24.0,24.0,24.0,24.0
Washing_Machine_Usage_Hours,650.0,0.5327230769230769,0.6696086755391062,0.0,0.0,0.0,0.97,3.0
Water_Motor_Usage_Hours,650.0,1.4149076923076924,0.5315130080748314,0.0,1.05,1.39,1.76,3.43
Lighting_Hours,650.0,6.250230769230769,1.5453298925180121,1.34,5.2524999999999995,6.26,7.2775,10.42
Outdoor_Temperature_C,650.0,25.699538461538456,11.397095692916476,0.6,15.9,25.7,36.375,48.4
Daily_Electricity_Consumption_kWh,650.0,12.930415384615385,6.251448964594354,4.39,7.65,11.05,17.53,32.35
