,importance
AC_Usage_Hours,0.8567624336039659
Family_Members,0.022749497859357135
Water_Motor_Usage_Hours,0.018959660192702683
Rooms_per_Person,0.01863163488530693
Total_Appliance_Hours,0.015916908465622364
Daily_Appliance_Usage_Count,0.013549874138591001
Washing_Machine_Usage_Hours,0.009964015203512425
Lighting_Hours,0.009889712506440815
Outdoor_Temperature_C,0.009148394766928533
Number_of_Rooms,0.008128488535615753
Fan_Usage_Hours,0.005388241632765478
Day_of_Week_Encoded,0.0053725307130659756
Is_Holiday,0.002976275364219943
House_Type_Encoded,0.0018580409885019015
Season_Encoded,0.00040694700948044356
High_Temp_Flag,0.0002973441339227202
Refrigerator_Usage_Hours,0.0
