,abs_correlation
AC_Usage_Hours,0.908524473118983
Total_Appliance_Hours,0.8370094012461594
Outdoor_Temperature_C,0.7078450642266123
High_Temp_Flag,0.6962893655131901
Fan_Usage_Hours,0.6458250736152695
Is_Holiday,0.16240164699836046
Family_Members,0.14737030640431403
Washing_Machine_Usage_Hours,0.13756301947726632
Season_Encoded,0.13513684685634483
Water_Motor_Usage_Hours,0.12868429322976768
Number_of_Rooms,0.09197831602045818
House_Type_Encoded,0.08800932643427303
Rooms_per_Person,0.05288799090230841
Daily_Appliance_Usage_Count,0.047970524961838734
Lighting_Hours,0.041226205055947714
Day_of_Week_Encoded,0.017542670472904368
Refrigerator_Usage_Hours,
